 , , ,F1,F1,F1,F1,F1,F1,F2,F2,F2,F2,F2,F2,F3,F3,F3,F3,F3,F3,F4,F4,F4,F4,F4,F4
 , , ,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3,D1,D1,D2,D2,D3,D3
 , , ,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10
Tmax50,tau50,Iter0,0.08,0.14,0.00,0.01,0.09,0.33,0.08,0.20,0.00,0.02,0.08,0.28,0.01,0.19,0.00,0.01,0.05,0.40,0.05,0.15,0.00,0.02,0.06,0.23
Tmax50,tau50,Iter1,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Tmax50,tau50,Iter2,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.01
Tmax50,tau50,Iter3,0.00,0.01,0.00,0.01,0.01,0.13,0.00,0.01,0.00,0.01,0.01,0.13,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.02
Tmax50,tau50,Iter4,0.00,0.01,0.00,0.01,0.01,0.18,0.00,0.02,0.00,0.01,0.00,0.08,0.00,0.01,0.00,0.01,0.01,0.05,0.00,0.01,0.00,0.01,0.01,0.07
Tmax50,tau50,Iter5,0.00,0.01,0.00,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.01,0.01
Tmax50,tau50,Iter6,0.00,0.01,0.00,0.01,0.01,0.06,0.00,0.01,0.00,0.01,0.01,0.10,0.00,0.01,0.01,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.01,0.02
Tmax50,tau50,Iter7,0.07,0.03,0.00,0.01,0.10,0.11,0.07,0.05,0.00,0.01,0.07,0.16,0.06,0.09,0.00,0.01,0.06,0.23,0.03,0.04,0.00,0.01,0.06,0.18
Tmax50,tau50,Iter8,0.01,0.17,0.00,0.01,0.02,0.08,0.01,0.10,0.00,0.01,0.07,0.09,0.01,0.03,0.00,0.01,0.01,0.06,0.01,0.03,0.00,0.01,0.01,0.09
